Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Демʼянюк,Вадим,Юрійович,Чоловіча,1952-03-29,Реабілітолог,село Бунге ,"набережна Василя Кандинського, буд. 365 кв. 508, Гірське, 59388",+380 (95) 640-52-36,vchekaliuk@example.com
Удовенко,Ірина,Андріївна,Жіноча,1974-09-07,Співак,місто Угнів,"набережна Достоєвського, буд. 9, Новоазовськ, 74204",+380 29 485-92-90,zdanko@example.org
Гайда,Юстим,Андрійович,Чоловіча,1989-01-13,Літературознавець,місто Радехів,"проспект Івасюка Володимира, буд. 004, Новодністровськ, 23992",022 423 86 11,vasylyna47@example.org
Товстоліс,Оксенія,Макарівна,Жіноча,1945-09-01,Адвокат,селище Ромни,"парк Кавказький, буд. 6 кв. 372, Могилів-Подільський, 12980",+380 65 902 74 95,fzasukha@example.com
Копитко,Захар,Володимирович,Чоловіча,1967-01-10,Клоун,хутір Берестечко,"провулок Восьмого Березня Лінія 5-та, буд. 2 кв. 9, Балаклія, 94249",004 422-20-94,boryslav97@example.com
Шинкаренко,Ада,Федорівна,Жіноча,1980-09-11,Лікар,селище Черкаси,"сквер Святослава Ріхтера, буд. 717, Христинівка, 35435",072 050-15-75,violettakolodub@example.com
Шамрай,Тереза,Сергіївна,Жіноча,1987-06-23,Фотограф,селище Калинівка ,"узвіз Троїцького Миколи, буд. 8, Красногорівка, 26300",524 50 78,acherednyk@example.com
Зінченко,Антон,Григорович,Чоловіча,2001-11-13,Акушер,хутір Косів,"шосе Перемоги, буд. 91, Немирів, 04923",+380 85 841 76 52,hohol-ianovskyiiryna@example.net
Деряжний,Єфрем,Володимирович,Чоловіча,1941-08-15,Етнограф,хутір Гайворон,"парк Локомотивна, буд. 642, Тульчин, 39181",+380 (88) 113-68-98,hatroshchenko@example.org
Кабалюк,Адам,Олегович,Чоловіча,1971-09-22,Кухар,село Теребовля,"площа Астрономічний, буд. 5 кв. 5, Глобине, 62765",+380 74 398-71-76,ovcharenkoavrelii@example.org
Короленко,Леопольд,Васильович,Чоловіча,1986-12-04,Фізик,село Добропілля,"провулок 3-тя Суворовська, буд. 802, Ужгород, 60949",310-73-86,hryhoriishovkoplias@example.net
Дзюба,Марко,Федорович,Чоловіча,1951-07-25,Соціолог,село Ладижин,"набережна Кифоренка Бориса, буд. 692, Попасна, 51058",065 084-17-96,oryna00@example.net
Бабійчук,Юстина,Григорівна,Жіноча,1977-10-15,Гицель,селище Дніпро ,"шосе 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 5, Краматорськ, 72149",206-95-67,aiukhymenko@example.com
Дробʼязко,Юхим,Михайлович,Чоловіча,1943-05-20,Мистецтвознавець,селище Свалява,"парк Тракторна, буд. 77 кв. 5, Каховка, 25043",711 73 03,boryskhudiak@example.net
Ємельяненко,Пармен,Володимирович,Чоловіча,1975-05-21,Ґрунтознавець,місто Тростянець,"площа Першотравневий 3-й, буд. 645, Семенівка, 52408",643 62 62,valentyna44@example.net
Аврамчук,Симон,Юрійович,Чоловіча,1981-01-03,Кушнір,селище Белз,"проспект Ялинковий, буд. 3 кв. 31, Миколаїв, 91418",+380 27 337 99 13,symon04@example.com
Єременко,Болеслав,Романович,Чоловіча,1942-11-16,Живописець,хутір Лубни,"сквер Єнісейська, буд. 791, Новий Буг, 26780",096 574-45-65,davyddankiv@example.org
Шведченко,Орина,Володимирівна,Жіноча,2000-10-21,Мірошник,місто Прип'ять ,"проспект Миколаївський 1-й, буд. 062, Нововолинськ, 47241",+380 85 217 16 08,nlukash@example.org
Баклан,Одарка,Іванівна,Жіноча,1964-12-16,Водій,село Чугуїв,"набережна Орловська, буд. 7, Харків, 61296",036 841-63-49,ostap60@example.com
Іщак,Ірина,Іванівна,Жіноча,1980-03-21,Кінорежисер,село Дергачі,"проспект Чорноморський 6-й, буд. 41 кв. 78, Лебедин, 44120",+380 12 069 76 30,qtaran@example.com
Пушкар,Варфоломій,Володимирович,Чоловіча,1996-12-30,Філолог,місто Камінь-Каширський,"парк Ільфа і Петрова, буд. 21, Дніпрорудне, 84869",053 118 42 17,derkachstanislav@example.com
Атрощенко,Святослава,Євгенівна,Жіноча,1955-02-16,М'ясник,хутір Чорнобиль,"вулиця Кленова, буд. 41 кв. 84, Маріуполь, 50010",+380 25 227-45-08,zorianbalaban@example.org
Шинкаренко,Марія,Степанівна,Жіноча,1943-07-20,Пілот,місто Красилів,"площа Цегельнозаводська, буд. 0 кв. 8, Могилів-Подільський, 15363",042 941 89 87,jkhrystenko@example.net
Бабич,Соломон,Богданович,Чоловіча,2004-06-16,Співак,село Жовква,"шосе Пляжна, буд. 538 кв. 421, Маріуполь, 02828",041 633-71-97,shrechko@example.org
Архимович,Азар,Олександрович,Чоловіча,1950-12-11,Мінералог,село Генічеськ,"вулиця Офіцерський 2-й, буд. 5, Судак , 72906",+380 (56) 634-75-28,ieremenkoiakiv@example.net
Шаблій,Ярослав,Васильович,Чоловіча,1946-05-13,Клоун,селище Арциз,"сквер Лиманчик 2-й Лінія 8-ма, буд. 089, Хуст, 03448",+380 85 272-68-45,serhiishvaika@example.org
Чала,Мілена,Сергіївна,Жіноча,2006-04-17,Дизайнер,село Носівка,"площа Мічуріна, буд. 887, Комарно, 53031",053 916 39 16,zlatoslava11@example.org
Батюк,Маруся,Василівна,Жіноча,1985-12-20,Ґрунтознавець,хутір Горохів,"парк Роздольна, буд. 573 кв. 2, Вашківці, 66329",+380 (86) 230-11-71,teodorderhach@example.com
Бабич,Єлисавета,Федорівна,Жіноча,1984-03-01,Паблік рилейшнз,хутір Вишгород,"узвіз Макаренка, буд. 9, Кам'янець-Подільський, 63779",017 41 55,ustym11@example.org
Конопля,Панас,Олегович,Чоловіча,1996-01-22,Петрограф,селище Ірпінь,"площа Суворовська, буд. 9, Горлівка, 77135",080 235 21 36,hennadiikozak@example.org
Ільєнко,Роман,Євгенович,Чоловіча,1966-08-08,Будник,селище Одеса,"площа Макарова, буд. 515 кв. 6, Сарни, 23278",+380 16 825 96 38,baranfeofan@example.net
Єрченко,Аврелій,Олександрович,Чоловіча,1940-03-03,Мірошник,хутір Дніпрорудне,"узвіз Собінова, буд. 4, Горлівка, 79078",211 86 67,iarema38@example.net
Бевз,Зиновій,Юрійович,Чоловіча,1985-11-28,Хореограф,хутір Жданівка,"проспект Санаторний, буд. 56 кв. 714, Павлоград, 83840",002 420-01-90,adam55@example.net
Оберемко,Веніямин,Олександрович,Чоловіча,1992-11-22,Електрослюсар,селище Погребище,"провулок Іванова Ігоря, буд. 84 кв. 0, Макіївка, 86162",+380 90 844-32-77,khoma22@example.net
Бабиченко,Борис,Андрійович,Чоловіча,1992-11-24,Фізик,село Борислав,"набережна Восьмого березня узвіз, буд. 72, Гола Пристань, 81513",+380 98 500-20-67,kostiantyn38@example.net
Яремків,Михайлина,Дмитрівна,Жіноча,1967-04-17,Адвокат,село Корюківка,"площа Виноградний, буд. 313 кв. 6, Тетіїв, 96941",025 957-10-83,vladyslav70@example.org
Фастенко,Андрій,Євгенович,Чоловіча,1994-10-18,Стропальник,хутір Новий Буг,"набережна Водопровідний 2-й, буд. 56 кв. 70, Торецьк, 54511",+380 86 518-24-62,trokhym21@example.org
Козаченко,Марина,Леонідівна,Жіноча,1998-12-12,Піаніст,хутір Охтирка,"узвіз Каманіна, буд. 922 кв. 43, Жовті Води, 18317",+380 37 481-99-56,oleh91@example.net
Влох,Владислав,Григорович,Чоловіча,1990-06-16,Маркетолог,селище Остер ,"сквер Краснова, буд. 2 кв. 969, Іловайськ, 70470",086 07 16,olenaandrusenko@example.com
